Metric,Gazebo,Webots,Bullet / PyBullet,CoppeliaSim (V-REP),MuJoCo,ODE (Open Dynamics Engine),ROS 2 ,OpenRAVE,PhysX (open-source SDK),AirSim,Drake,DART,CARLA,MORSE,Simbody,OMPL (Open Motion Planning Library),Pinocchio,OROCOS,SOFA,MoveIt!,GraspIt!,Habitat,Project Chrono,Flightmare,MRPT,Newton Dynamics,YARP,OpenRTM-aist
Software name? (string),Gazebo,Webots,PyBullet,CoppeliaSim,MuJoCo,ODE (Open Dynamics Engine),ROS 2 (Robot Operating System 2),OpenRAVE (Open Robotics Automation Virtual Environment),PhysX (NVIDIA PhysX),AirSim (Aerial Informatics and Robotics Simulation),Drake,DART (Dynamic Animation and Robotics Toolkit),CARLA (CAR Learning to Act),MORSE (Modular OpenRobots Simulation Engine),Simbody,OMPL (Open Motion Planning Library),Pinocchio,OROCOS (Open RObot COntrol Software),SOFA (Simulation Open Framework Architecture),MoveIt! (MoveIt 2 for ROS 2),GraspIt!,Habitat-Sim,Project Chrono,Flightmare,MRPT (Mobile Robot Programming Toolkit),Newton Dynamics,YARP (Yet Another Robot Platform),OpenRTM-aist
URL? (URL),https://gazebosim.org,https://cyberbotics.com,https://pybullet.org,https://www.coppeliarobotics.com,https://mujoco.org,https://www.ode.org,https://ros.org,http://openrave.org,https://developer.nvidia.com/physx-sdk,https://microsoft.github.io/AirSim,https://drake.mit.edu,https://dartsim.github.io,https://carla.org,https://morse-simulator.github.io/,https://simtk.org/projects/simbody,https://ompl.kavrakilab.org,https://stack-of-tasks.github.io/pinocchio,https://www.orocos.org,https://www.sofa-framework.org,https://moveit.ai,http://graspit-simulator.github.io,https://aihabitat.org,https://projectchrono.org,https://uzh-rpg.github.io/flightmare,https://www.mrpt.org,https://github.com/JulioJerez/newton-dynamics,https://www.yarp.it,https://www.openrtm.org
Affiliation (institution(s)) (string or N/A),Open Robotics (formerly OSRF),Cyberbotics Ltd. (originally developed at EPFL),Bullet Physics open-source community (originally by Erwin Coumans),"Coppelia Robotics AG (Zurich, Switzerland); originally developed within Toshiba R&D",Google DeepMind (acquired October 2021); originally developed at University of Washington Movement Control Lab by Emanuel Todorov; commercialized by Roboti LLC,Russell Smith (original developer),Open Robotics,"Carnegie Mellon University Robotics Institute / Quality of Life Technology Center (originated 2006); later maintained at JSK Robotics Lab, University of Tokyo; primary maintainer: Rosen Diankov (MUJIN Inc.)",NVIDIA Corporation; originally developed by NovodeX AG (Switzerland); acquired by Ageia Technologies in 2004; acquired by NVIDIA in 2008,"Microsoft Research (developed at Microsoft AI & Research); original team led by Shital Shah, Debadeepta Dey, and Ashish Kapoor",Toyota Research Institute (TRI); MIT CSAIL / Robot Locomotion Group (origin),"Georgia Institute of Technology, Graphics Lab and Humanoid Robotics Lab (originated 2011, created by C. Karen Liu and Mike Stilman); University of Washington Personal Robotics Lab; Open Source Robotics Foundation; Stanford University Movement Lab; Carnegie Mellon University","Computer Vision Center (CVC), Universitat Autònoma de Barcelona / Universitat Politècnica de Catalunya (UPC), Barcelona; Intel Labs; Embodied AI Foundation; collaborative open-source community","LAAS-CNRS (Laboratoire d'Analyse et d'Architecture des Systèmes, French National Center for Scientific Research), Toulouse, France; jointly developed with ONERA (French aerospace lab); contributions from 15+ universities worldwide","Simbios, NIH National Center for Physics-Based Simulation of Biological Structures at Stanford University; primary developers Michael Sherman and Peter Eastman (Stanford Simbios Center); Scott Delp Neuromuscular Biomechanics Lab (Stanford)","Kavraki Lab, Rice University (lead development); Dr. Lydia Kavraki (PI), Dr. Mark Moll, Dr. Zachary Kingston, Dr. Ioan Șucan","Inria (French National Institute for Research in Digital Science and Technology), Paris; LAAS-CNRS (Laboratoire d'Analyse et d'Architecture des Systèmes, Toulouse); primary developer: Justin Carpentier (Inria Willow team); co-creator: Nicolas Mansard (LAAS-CNRS Gepetto team)","KU Leuven / PMA Division, Belgium; founded by Herman Bruyninckx (KU Leuven, December 2000); initial implementation by Peter Soetens (PhD student KU Leuven); copyright shared by 20+ contributors internationally","Inria (France); four active Inria teams: Mimesis, Imagine, Defrost, Asclepios; founded 2006 by Inria alongside USTL, UJF, CNRS, and MGH (Massachusetts General Hospital)",PickNik Robotics (PickNik Inc.) leads development; originally developed by Sachin Chitta and Dave Coleman at Willow Garage / SRI International; maintained by broad ROS community,"Columbia University Robotics Group (Professor Peter Allen, lab of origin); current maintainers: Matei Ciocarlie (Columbia Robotics & Rehabilitation Lab), Jake Varley (Google), Jon Weisz; historical contributors at Columbia and Carnegie Mellon","Meta AI Research (FAIR — Fundamental AI Research); developed by Facebook AI Research; AI Habitat project part of FAIR's embodied AI research program led by researchers including Erik Wijmans, Abhishek Kadian, Amir Sadeghi, Claudia Perez-D'Arpino, and many others","University of Wisconsin-Madison (primary lead; Dan Negrut, Simulation-Based Engineering Lab) and University of Parma, Italy (co-developer; Alessandro Tasora); supported by NSF, US Army, and other funders","Robotics and Perception Group (RPG), University of Zurich and ETH Zurich; lead developers: Yunlong Song (ETH Zurich RPG), Selim Nusbaum, and team; PI: Davide Scaramuzza (ETH Zurich RPG director)","University of Almería (Spain); lead developer: Jose Luis Blanco-Claraco (Full Professor at University of Almería, formerly TU Munich and University of Málaga); founded 2005 by Jose Luis Blanco",Independent open-source project; primary developer: Julio Jerez; co-developer: Alain Suero (original co-author); community contributions via GitHub,"Istituto Italiano di Tecnologia (IIT), Genoa, Italy; RobotCub Consortium (EU-funded iCub humanoid robot project); primary developers: Lorenzo Natale, Daniele Pagnin, and IIT Robotics team; originates from humanoid robot research (iCub)","National Institute of Advanced Industrial Science and Technology (AIST), Japan; primary developer: Noriaki Ando (AIST Intelligent Systems Research Institute); OpenRTM-aist Project team at AIST"
Software purpose (string),"Open-source robotics simulator providing high-fidelity physics, rendering, and sensor models for robot simulation and testing","Open-source multi-platform robot simulator for modeling, programming, and simulating robots, vehicles, and mechanical systems","Python module for physics simulation, robotics, and deep reinforcement learning based on Bullet Physics SDK","Versatile and scalable robot simulation framework for rapid algorithm development, factory automation simulation, fast prototyping, verification, and digital twin creation","General-purpose physics simulator for research and development in robotics, biomechanics, graphics and animation, and machine learning requiring fast and accurate simulation of articulated structures","Open-source, high-performance library for simulating rigid body dynamics; used in robotics, games, and interactive simulation applications","Open-source software development kit (SDK) and middleware framework for robotics: provides communication infrastructure (DDS-based pub/sub), hardware abstraction, drivers, libraries, visualizers, tools, and community packages for building robot applications","Open-source robotics planning framework for testing, developing, and deploying motion planning algorithms; focuses on simulation and analysis of kinematic and geometric information for robot motion planning, especially manipulation","PhysX is a high-performance real-time physics engine SDK for simulating rigid bodies, particles, vehicles, deformables, and related physical effects; primarily used in video games and other real-time simulation applications.","Open-source simulator for autonomous vehicles (drones/quadrotors and ground vehicles) built on Unreal Engine; supports testing AI systems, computer vision, deep learning, and reinforcement learning for autonomous vehicle research; provides photorealistic environments, physics simulation, and sensor models (cameras, LiDAR, IMU)","Open-source C++ and Python toolbox for model-based design and verification of robotics systems; focuses on multibody dynamics, trajectory optimization, model predictive control, perception, manipulation planning, and formal verification for robustly safe robots",Open-source C++ physics engine and kinematics/dynamics library for robotics and computer animation; provides kinematic and dynamic simulation of articulated structures with an emphasis on accurate and stable simulation for manipulation and locomotion research,"Open-source autonomous driving simulator built on Unreal Engine; provides photorealistic urban environments, accurate physics, and a comprehensive sensor suite (cameras, LiDAR, radar, IMU, GPS) for developing, training, and validating autonomous driving systems and AI agents","Generic academic robotic simulator based on the Blender 3D engine and its integrated Bullet physics engine; provides a component-based architecture for simulating robots and their interactions with environments, emphasizing middleware-agnostic design (ROS, YARP, Pocolibs, etc.)","High-performance open-source C++ multibody dynamics library for simulating articulated biomechanical and mechanical systems; provides accurate physics simulation of skeletons, robots, and vehicles; serves as the physics engine underlying OpenSim (biomedical simulation software)","Open-source C++ library for sampling-based motion planning algorithms; provides implementations of planners such as PRM, RRT, RRT*, EST, and many others; designed as a framework for motion planning research and integration into robotics software (e.g., MoveIt, OpenRAVE)","Fast and flexible C++ library for rigid-body dynamics computations and their analytical derivatives; implements state-of-the-art algorithms (RNEA, CRBA, ABA, JSIM) for computing kinematics, dynamics, and Jacobians of articulated rigid-body models; includes Python bindings and supports robotics, animation, and optimal control applications",Open-source C++ framework for real-time robot control; major components: Real-Time Toolkit (RTT) for component-based hard real-time software; Kinematics and Dynamics Library (KDL) for serial chain kinematics; Bayesian Filtering Library (BFL); Orocos Component Library (OCL),"Open-source real-time medical simulation and interactive simulation framework; provides component-based architecture for deformable object simulation, finite element methods, collision detection, and haptic feedback; primary applications in surgical simulation, medical education, and soft robotics","Open-source robotics manipulation framework for ROS and ROS 2; provides motion planning, kinematics, collision checking, trajectory execution, and perception integration for robot arms and manipulators; integrates OMPL, CHOMP, STOMP, and other planners as plugins","Simulation environment for robotic grasping research; supports loading robot hand models and 3D object models to plan, evaluate, and visualize grasps; implements grasp quality metrics (epsilon and volume quality measures), contact model simulation, and the GraspIt! eigengrasp planning framework; integrates Columbia Grasp Database (CGDB)","Flexible, high-performance 3D simulator for embodied AI research; enables training and evaluation of embodied AI agents (virtual robots, navigation agents) in photorealistic 3D environments; provides efficient 3D scene rendering (Magnum renderer), dataset support (Matterport3D, Gibson, Replica, HM3D), and physics simulation via Bullet; companion to Habitat-Lab RL training framework","High-performance open-source multi-physics simulation library; provides multibody dynamics, finite element analysis (FEA), rigid and flexible body simulation, vehicle dynamics (Chrono::Vehicle), granular terrain (Chrono::Granular), fluid-solid interaction (Chrono::FSI), and sensor simulation (Chrono::Sensor); supports GPU-accelerated simulation via CUDA",Flexible modular quadrotor simulator for learning and control research; provides rendering-based environment (Unity3D rendering engine) and physics simulation for training reinforcement learning agents on drone racing and agile flight tasks; modular architecture separates rendering (Unity) from RL environment (Python/C++) for flexibility in fast or photorealistic simulation modes,"Open-source cross-platform C++ library for mobile robotics research and development; provides algorithms for SLAM (Simultaneous Localization and Mapping), computer vision, motion planning, and sensor data processing; includes a 3D robotics simulation environment (RawLogViewer, SceneViewer3D); supports mapping, localization, path planning, and sensor fusion","High-performance physics simulation engine for games and interactive applications; provides rigid body dynamics, collision detection, soft bodies, vehicle dynamics, and articulated rigid bodies; optimized for real-time deterministic simulation with exact arithmetic; provides Newtonian dynamics solver with an exact implicit solver for rigid body integrations; widely used in game development and robotics simulation","Open-source middleware for humanoid and general robotics; provides communication infrastructure for distributed robot systems (ports, carriers, protocols); supports inter-process communication between robot sensor and actuator modules; includes libraries for sensor processing, motor control, computer vision, and device abstraction; primary middleware for the iCub humanoid robot platform and used in many academic humanoid robot projects","Robotic Technology Middleware (RTM) implementation for the OMG-standardized RT (Robot Technology) Component standard; provides a component-based framework for creating, managing and connecting RT-Components (robot software modules); enables distributed robot systems by abstracting hardware and software interfaces into standardized components; includes component framework, execution context management, CORBA-based inter-component communication, and development tools (RTCBuilder, RTSystemEditor); widely used in Japanese robotics industry and research"
Number of developers (all developers that have contributed at least one commit to the project) (use repo commit logs) (number),224,168,333,6,138,46,77,146,13,279,381,102,279,63,74,150,167,81,370,598,34,80,222,6,132,41,125,30
"How is the project funded? (unfunded, unclear, funded∗) where ∗ requires a string to say the source of funding","funded (Open Source Robotics Foundation through contracts, grants, and donations from DARPA, NASA, Amazon, Bosch, Nvidia, Toyota Research Institute, and others)",funded (Cyberbotics),unclear,funded,funded,unfunded,funded,unclear,funded,funded,"funded (TRI, DARPA, NSF, ONR, Amazon, MathWorks)",funded,funded,"funded (Fondation RTRA/ROSACE, DGA/ACTION)","funded (NIH U54 GM072970, NIH U54 EB020405, NIH R24 HD065690, DARPA HR0011-12-C-0111)",funded (National Science Foundation),"funded (INRIA, LAAS-CNRS)",unclear,"funded (INRIA, CNRS, USTL, UJF, MGH)","funded (EU Horizon 2020 ROSIN grant 732287, PickNik Robotics)",unclear,funded,"funded (US Army Research Office, NSF, DoD, DOT)",unclear,unclear,unclear,"funded (Istituto Italiano di Tecnologia, RobotCub Consortium)",funded (AIST)
Initial release date? (date),2014-04-07,2018-11-05,2006-05-25,2019-09-27,2021-10-18,2001-03-04,2015-02-24,2009-08-15,2022-11-08,2017-02-13,2010-08-03,2011-04-01,2017-03-03,2009-10-30,2005-07-26,2010-04-26,2014-10-07,2007-02-13,2005-12-08,2011-10-11,2010-10-01,2019-02-25,2010-02-23,2020-07-14,2010-06-03,2013-05-06,2006-03-10,2005-05-12
Last commit date? (date),2026-05-09,2026-05-04,2025-10-21,2026-05-11,2026-05-11,2026-04-14,2026-04-29,2024-08-16,2026-04-13,2026-03-15,2026-05-11,2026-05-10,2026-05-11,2022-03-22,2026-03-19,2026-05-08,2026-05-11,2026-05-07,2026-05-08,2026-03-23,2020-07-10,2026-05-07,2026-05-11,2023-05-15,2026-05-10,2026-05-11,2026-04-25,2026-05-11
"Status? (alive is defined as presence of commits in the last 18 months) (alive, dead, unclear)",alive,alive,alive,alive,alive,alive (low activity),alive,dead,alive,alive,alive,alive,alive,dead,alive,alive,alive,alive,alive,alive,dead,alive,alive,dead,alive,alive,alive,alive
